uf,municipio,car,cultura,area_plant,num_talhao,geometry
MT,Lucas do Rio Verde,MT-5105259-2DF94C73995942FEB774D5A7F7051632,ALGODAO,30.4982703749112,1,"POLYGON ((-56.04901890985371 -12.83314727529387, -56.05808914676705 -12.83592286691762, -56.0566 -12.8322, -56.0528 -12.8336, -56.0516 -12.8305, -56.0503 -12.8273, -56.05016166121346 -12.82697011520133, -56.04960474864019 -12.82788504300027, -56.04911804508117 -12.82878892103846, -56.04883992876172 -12.82948421183708, -56.04883992876172 -12.83004044447597, -56.04890945784158 -12.83045761895513, -56.04911804508117 -12.83073573527458, -56.04939616140061 -12.83150055515305, -56.04939616140061 -12.83226537503152, -56.04904851600131 -12.83282160767041, -56.04901890985371 -12.83314727529387))"
MT,Lucas do Rio Verde,MT-5105259-2DF94C73995942FEB774D5A7F7051632,ALGODAO,13.8561097026303,2,"POLYGON ((-56.06074521718209 -12.84250396688133, -56.05257603561586 -12.84019349128685, -56.0539 -12.8421, -56.0577 -12.8431, -56.0614 -12.8441, -56.06074521718209 -12.84250396688133))"
MT,Lucas do Rio Verde,MT-5105259-2DF94C73995942FEB774D5A7F7051632,ALGODAO,19.9046163243324,3,"POLYGON ((-56.05257603561586 -12.84019349128685, -56.06074521718209 -12.84250396688133, -56.05987891110483 -12.84039234581802, -56.05084933766491 -12.83769695076133, -56.0514 -12.8385, -56.05257603561586 -12.84019349128685))"
MT,Lucas do Rio Verde,MT-5105259-2DF94C73995942FEB774D5A7F7051632,ALGODAO,25.7834018183733,4,"POLYGON ((-56.05084933766491 -12.83769695076133, -56.05987891110483 -12.84039234581802, -56.0598 -12.8402, -56.0588121044568 -12.837730261142, -56.04955745700591 -12.8350673673, -56.04960474864019 -12.83518559638569, -56.04961751555322 -12.83590054351511, -56.05084933766491 -12.83769695076133))"
MT,Lucas do Rio Verde,MT-5105259-2DF94C73995942FEB774D5A7F7051632,ALGODAO,18.6641057405357,5,"POLYGON ((-56.04955745700591 -12.8350673673, -56.0588121044568 -12.837730261142, -56.0582 -12.8362, -56.05808914676705 -12.83592286691762, -56.04901890985371 -12.83314727529387, -56.04897898692144 -12.83358642754888, -56.04918757416102 -12.83421218926763, -56.04946569048047 -12.83483795098638, -56.04955745700591 -12.8350673673))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,17.3448630715461,1,"POLYGON ((-52.46277974078629 -28.36572155528219, -52.46325963394828 -28.36585592536755, -52.46355639305764 -28.36630106403158, -52.46366767772364 -28.36704296180498, -52.46414991127635 -28.36748810046901, -52.46496599882708 -28.36771066980103, -52.46569180609033 -28.36792138803875, -52.46567080171181 -28.36778485957837, -52.46581918126649 -28.36748810046901, -52.46619013015319 -28.36726553113699, -52.46667236370589 -28.36733972091433, -52.46708040748126 -28.36752519535768, -52.4676368308113 -28.36763648002369, -52.46819325414135 -28.36767357491236, -52.4683787285847 -28.36748810046901, -52.46841355722615 -28.36691342788504, -52.46834163369604 -28.36685748736162, -52.46793358992068 -28.36674620269561, -52.46763683081132 -28.36644944358626, -52.46734007170196 -28.36618977936557, -52.46696912281526 -28.36596721003355, -52.46674655348325 -28.36559626114685, -52.46648688926255 -28.36533659692617, -52.46589337104384 -28.36503983781681, -52.46548532726847 -28.36496564803947, -52.46515147327045 -28.36481726848479, -52.46504018860444 -28.3645576042641, -52.46515147327045 -28.36400118093406, -52.46538429878363 -28.36364298783685, -52.46530000000001 -28.36279999999999, -52.46369999999996 -28.36180000000002, -52.46359999999999 -28.36180000000002, -52.46350000000001 -28.36219999999997, -52.46319999999997 -28.36359999999996, -52.46299999999997 -28.36459999999994, -52.46280000000002 -28.36559999999992, -52.46277974078629 -28.36572155528219))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,1.76457641584128,2,"POLYGON ((-52.47049313723888 -28.3752038373123, -52.46889805702608 -28.37572316575367, -52.46915772124677 -28.3760570197517, -52.46956576502213 -28.37627958908372, -52.46986252413149 -28.37661344308174, -52.47049313723888 -28.37661344308174, -52.47078989634824 -28.37657634819308, -52.47049313723888 -28.3752038373123))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,15.6816479790291,3,"POLYGON ((-52.46676282763136 -28.37944868947444, -52.4664126994852 -28.37906170573395, -52.46299996972759 -28.37824561818322, -52.46266611572956 -28.37750372040982, -52.46240645150888 -28.37698439196845, -52.4621211426075 -28.37654691831968, -52.46207259751085 -28.37653925330441, -52.46165022644998 -28.37755294385052, -52.46169999999995 -28.37819999999999, -52.46179999999998 -28.37879999999996, -52.46190000000001 -28.37939999999998, -52.46199999999999 -28.37959999999998, -52.46210000000002 -28.37970000000001, -52.46379999999999 -28.38109999999995, -52.46449999999999 -28.38179999999994, -52.46499999999997 -28.38240000000002, -52.46530000000001 -28.38279999999992, -52.46699999999998 -28.38099999999991, -52.46640000000002 -28.3809, -52.46676282763136 -28.37944868947444))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,16.864249495507,4,"POLYGON ((-52.46312042405027 -28.37674002240208, -52.4637813936575 -28.36794912662592, -52.46292577995025 -28.36834128290841, -52.46221067583477 -28.36834128290841, -52.46219999999994 -28.36839999999995, -52.4621641587373 -28.36861504757596, -52.46210000000002 -28.36900000000003, -52.46190000000001 -28.37009999999992, -52.46169999999995 -28.37109999999996, -52.46140000000003 -28.37220000000002, -52.46136988928059 -28.37247099647483, -52.46129999999999 -28.37309999999997, -52.46129999999999 -28.37349999999998, -52.46159999999992 -28.37689999999998, -52.46165022644998 -28.37755294385052, -52.46207259751085 -28.37653925330441, -52.46277740039557 -28.37665053797042, -52.46312042405027 -28.37674002240208))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,1.81989947158215,5,"POLYGON ((-52.46502692288261 -28.36772835743005, -52.46511437838172 -28.3687122317951, -52.46555951704576 -28.36967669890051, -52.46688359865343 -28.36988215983963, -52.46689493303791 -28.36963960401186, -52.46619013015319 -28.36919446534782, -52.46585627615516 -28.36867513690644, -52.46574499148915 -28.36826709313108, -52.46569180609033 -28.36792138803875, -52.46502692288261 -28.36772835743005))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,39.5526793361325,6,"POLYGON ((-52.46956576502213 -28.37138306377932, -52.46889805702607 -28.36952831934585, -52.46860129791671 -28.36919446534782, -52.46804487458667 -28.36908318068181, -52.46771102058864 -28.36882351646112, -52.46704331259259 -28.36856385224043, -52.46700621770392 -28.36941703467984, -52.46683580842841 -28.36960226215322, -52.46689493303791 -28.36963960401186, -52.46670945859456 -28.37360875709951, -52.46652398415122 -28.37527802708964, -52.46611594037585 -28.37613120952905, -52.46548532726846 -28.37676182263643, -52.46474342949507 -28.37698439196845, -52.46363058283498 -28.37687310730244, -52.46277740039557 -28.37665053797042, -52.4621211426075 -28.37654691831968, -52.46240645150888 -28.37698439196845, -52.46266611572956 -28.37750372040982, -52.46299996972759 -28.37824561818322, -52.4664126994852 -28.37906170573395, -52.46676282763136 -28.37944868947444, -52.46679999999998 -28.37929999999994, -52.46679999999998 -28.37920000000003, -52.46689999999995 -28.37929999999994, -52.46710000000002 -28.37929999999994, -52.46719999999993 -28.37929999999994, -52.46719999999993 -28.37939999999998, -52.46730000000002 -28.37939999999998, -52.46730000000002 -28.37950000000001, -52.46730000000002 -28.37959999999998, -52.46730000000002 -28.37970000000001, -52.46739999999994 -28.37970000000001, -52.46739999999994 -28.37979999999993, -52.46749999999997 -28.37979999999993, -52.4676 -28.37979999999993, -52.46769999999998 -28.37979999999993, -52.46789999999993 -28.37979999999993, -52.46800000000002 -28.37979999999993, -52.46809999999999 -28.37979999999993, -52.46819999999997 -28.37970000000001, -52.46819999999997 -28.37959999999998, -52.4683 -28.37959999999998, -52.46839999999992 -28.37950000000001, -52.46850000000001 -28.37950000000001, -52.46859999999992 -28.37950000000001, -52.46859999999992 -28.37939999999998, -52.46869999999996 -28.37939999999998, -52.46879999999999 -28.37929999999994, -52.46889999999996 -28.37929999999994, -52.46889999999996 -28.37920000000003, -52.46910000000003 -28.37920000000003, -52.46919999999994 -28.37920000000003, -52.46929999999998 -28.37909999999994, -52.46935690517085 -28.37911896839024, -52.46934319569012 -28.37891332617927, -52.46952867013346 -28.37872785173592, -52.46993671390883 -28.37861656706991, -52.47053023212754 -28.37835690284922, -52.47038185257287 -28.37806014373987, -52.47004799857484 -28.37754081529849, -52.46956576502213 -28.37720696130046, -52.46904643658076 -28.37724405618913, -52.46871258258273 -28.37716986641179, -52.46841582347337 -28.37676182263642, -52.46823034903002 -28.37635377886106, -52.46823034903002 -28.37583445041968, -52.4683787285847 -28.37546350153299, -52.46867548769406 -28.37498126798028, -52.46893515191475 -28.37464741398225, -52.46952867013346 -28.37431355998423, -52.4699738087975 -28.37412808554088, -52.47023347301819 -28.37327490310147, -52.47030766279553 -28.37231043599606, -52.47008509346351 -28.37182820244336, -52.46956576502213 -28.37138306377932))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,28.2353782232707,7,"POLYGON ((-52.46688359865343 -28.36988215983963, -52.46555951704576 -28.36967669890051, -52.46511437838172 -28.3687122317951, -52.46502692288261 -28.36772835743005, -52.46496599882708 -28.36771066980103, -52.46415698717997 -28.36749003026091, -52.46381605727832 -28.36793323913304, -52.4637813936575 -28.36794912662592, -52.46312042405027 -28.37674002240208, -52.46363058283498 -28.37687310730244, -52.46474342949507 -28.37698439196845, -52.46548532726846 -28.37676182263643, -52.46611594037585 -28.37613120952905, -52.46652398415122 -28.37527802708964, -52.46670945859456 -28.37360875709951, -52.46688359865343 -28.36988215983963))"
RS,Passo Fundo,RS-4314100-597F50DD331747A0B3C42EDF74B747D6,SOJA,1.44447642806023,8,"POLYGON ((-52.46889805702607 -28.36952831934585, -52.46956576502213 -28.37138306377932, -52.47023347301819 -28.37101211489262, -52.46999095871347 -28.36969560866703, -52.46949157524479 -28.3698250784552, -52.46889805702607 -28.36952831934585))"
